All Metabolites,Traduccion,Primary Metabolites,Description Primary Metabolites,Secondary Metabolites,Description Secondary Metabolites,Saturated,Insaturated,Acids,Bases,Alcohols,Aminoderivatives,Amides,Aldehydes,Carbohydrates,Amino acids,Alkaloids
Pipecolic acid,Pipecolic acid,Myo-Inositol,"Myo-inositol is a type of sugar alcohol that plays a crucial role in the structure and function of plant cell membranes. It is commonly found integrated into membrane lipids, where it is known as part of the ""head"" of phosphate lipids. This structure allows myo-inositol to actively participate in cell signaling processes, facilitating communication within the cell and between cells in response to external stimuli. Furthermore, myo-inositol is essential in the regulation of osmotic balance and in the stress response in plants. Due to its ability to influence multiple metabolic pathways and cellular signals, this compound is also studied for its possible applications in medicine and in the improvement of agricultural crops.",,,,,,,,,,,,,
2-Hydroxybutyric acid,2-Hydroxybutyric acid,Niacin,"Niacin, also known as vitamin B3, is a water-soluble vitamin essential for human and plant metabolism. In plants, niacin is crucial for the synthesis of the coenzymes NAD (nicotinamide adenine dinucleotide) and NADP (nicotinamide adenine dinucleotide phosphate), which play fundamental roles in the oxidation-reduction reactions involved in photosynthesis and cellular respiration. In humans, niacin helps convert nutrients into energy, keeps the skin, nervous system, and digestive system healthy, and may improve cholesterol levels. Additionally, due to its effects on metabolism and circulation, niacin is used in dietary supplements and in the treatment of certain cardiovascular conditions.",,,,,,,,,,,,,
Hydracrylic acid,Hydracrylic acid,N-Methyl-L-proline,"N-methyl-L-proline is a modified amino acid that is synthesized from glutamic acid in plants and animals. Unlike common amino acids, it has a modification that gives it nonpolar characteristics, which means that it is insoluble in water. In plant metabolism, this particularity can influence the way proteins interact and organize, affecting processes such as stress response and adaptation to the environment. Although it is not one of the amino acids that are commonly part of proteins such as hemoglobin, its presence in biological systems is an example of the chemical diversity that cells use to perform specific functions. This amino acid may have applications in biotechnology, particularly in the design of peptides and proteins with specific properties.",,,,,,,,,,,,,
Phosphoric acid,Phosphoric acid,"N-Methyl-L-proline, pentyl ester","N-methyl-L-prolinepentyl ester is an ester derived from the amino acid proline. This compound is found in cell membranes, where it plays an important role in the stability and functionality of these structures. Being modified with a pentyl group, this ester can affect the fluidity and dynamics of membranes, which is crucial for processes such as molecule transport and cellular communication. In practical applications, studies of these types of compounds can offer insights into how to manipulate membrane properties to improve stress resistance in plants or to design drug delivery systems in the medical field. Their presence in membranes underlines the importance of modified lipids in cell biology and adaptation to the environment.",,,,,,,,,,,,,
Propanoic acid,Propanoic acid,Nonadecane,"Nonadecane is a type of alkane, a saturated hydrocarbon consisting of 19 carbon atoms. This compound is found naturally in the cell walls of some plants, where it contributes to the structure and waterproofing of the cells. The presence of nonadecane helps plants protect against desiccation and other adverse environmental factors, facilitating water retention and resistance to the penetration of pathogens. Due to its hydrophobic properties, nonadecane can also be used in industrial applications as lubricants or in the formulation of products that require protective barriers against moisture.",,,,,,,,,,,,,
Mimosine l,Mimosine l,Octadecane,"Octadecane, commonly known as stearin, is a saturated alkane consisting of 18 carbon atoms. This compound is found in the cell walls of many plants, playing a crucial role in cell protection and structuring. As part of plant waxes and other lipid compounds, octadecane helps create a barrier against water loss and the entry of pathogens, improving the plant's resistance to adverse environmental conditions. In addition to its biological function, octadecane has practical applications in industry, where it is used as a component in lubricants, cosmetics and waterproofing products due to its hydrophobic and stabilizing properties.",,,,,,,,,,,,,
"Pyrrolidine, 2-butyl-1-methyl-","Pyrrolidine, 2-butyl-1-methyl-",Octanoic acid,"Octanoic acid, also known as caprylic acid, is a saturated fatty acid consisting of a chain of 8 carbon atoms. This compound is naturally present in coconut oil and in the milk of various mammals, including humans. In plants, it plays a crucial role in the regulation of metabolism and lipid synthesis, being a fundamental part of the structure of their cell membranes. In addition to its biological importance, octanoic acid has practical applications in the food and cosmetics industry, where it is used for its antimicrobial properties and as an ingredient in skin care products, as it helps fight bacteria and fungi effectively.",,,,,,,,,,,,,
L-Leucine,L-Leucine,Oleamide,"Oleamide is a lipid derived from oleic acid, which is found naturally in the brain of mammals and has a significant role in regulating sleep and behavior. It works as a powerful sleep inducer, influencing the nervous system to promote relaxation and drowsiness. Additionally, oleamide has effects on modulating the immune system and activating serotonin receptors, which affects mood and emotional responses. This compound is also studied for its possible therapeutic applications in sleep disorders and conditions related to the immune and nervous system. Its ability to interact with various biological systems makes it an object of interest in medical and pharmaceutical research.",,,,,,,,,,,,,
"N-Methyl-L-proline, pentyl ester","N-Methyl-L-proline, pentyl ester","Oleic, (E)-","Oleic acid is a monounsaturated fatty acid belonging to the omega-9 series, known for its abundant presence in various vegetable oils, such as olive, hemp and avocado oil. This compound plays a crucial role in human nutrition and plant health, contributing to the integrity and function of cell membranes. In the diet, oleic acid is valued for its benefits for cardiovascular health, as it can help reduce bad cholesterol levels while increasing good cholesterol levels. Furthermore, due to its stability and resistance to oxidation, oleic acid is frequently used in the food and cosmetic industries, improving the texture and prolonging the shelf life of products.",,,,,,,,,,,,,
Ethanolamine,Ethanolamine,Oxalic acid,"Oxalic acid, also known as lemon salt or bitter salt, is an organic dicarboxylic acid with two carbon atoms. This acid is found naturally in many plant foods, such as spinach, rhubarb, and beets, where it can be present in high concentrations. In plants, oxalic acid combines with minerals such as calcium to form calcium oxalate, a substance that can contribute to the formation of crystals and, in humans, is linked to the formation of kidney stones. Despite its potentially harmful effects in excess, in moderate amounts oxalic acid participates in various metabolic and defensive processes in plants.",,,,,,,,,,,,,
L-Norleucine,L-Norleucine,Palmitic Acid,"Palmitic acid, also known as palmitate, is one of the most common and abundant saturated fatty acids in both plants and animals. In plants, it is mainly found in the oils and waxes that are part of cell membranes and serves as a source of stored energy. In humans and other animals, palmitic acid is a crucial component of body fat and plays critical roles in cellular structure and as an energy source. Despite its biological importance, excessive dietary palmitic acid consumption has been associated with an increased risk of cardiovascular disease due to its ability to raise blood cholesterol levels.",,,,,,,,,,,,,
Glycine,Glycine,palmitoleic acid,"Palmitoleic acid is a monounsaturated fatty acid of the omega-7 series, naturally present in various vegetable oils and in human adipose tissue. This fatty acid plays important roles in metabolism by acting as a signaling agent that can influence inflammation and fat metabolism processes. In plants, palmitoleic acid is a component of fats and oils, where it contributes to the integrity and functionality of cell membranes. In human nutrition, it is attributed beneficial properties for cardiovascular health and is studied for its potential to improve the lipid profile in the blood and reduce the risk of type 2 diabetes.",,,,,,,,,,,,,
Tropine,Tropine,Pentadecane,"Pentadecane is an alkane that consists of 15 carbon atoms, forming part of the linear saturated compounds. In plants, it is found in small amounts in cell walls, where it contributes to the structure and hydrophobic barrier that protects the plant against pathogens and excessive water loss. Although it is not very abundant, its presence in cell walls is crucial to maintain the structural integrity and functionality of membranes. Furthermore, in industrial applications, pentadecane can be used as a standard in chemical studies and as a component in cosmetic products due to its stabilizing and emollient properties.",,,,,,,,,,,,,
Methylsuccinic acid,Methylsuccinic acid,Putrescine,"Putrescine, common name for 1,4-butanediamine or 1,4-diaminobutane, is a diamine with the formula NH₂(CH₂)₄NH₂. Putrescine—like its analog cadaverine—was first described in 1885 by the Berlin doctor Ludwig Brieger. It has a strong smell of putrefaction.  It is a product of the catabolism of amino acids by bacteria and fungi. It is also a biosynthetic intermediate of several metabolites in plants.",,,,,,,,,,,,,
"2-Butenedioic acid, (E)-","2-Butenedioic acid, (E)-",Phytosphingosine1,"Phytosphingosine is a sphingoid base, a fundamental component of the most complex sphingolipids. It is abundant in plants and fungi and is present in animals. Phytosphingosine has also been found to have interesting T cell-related anti-inflammatory properties in inflammatory bowel disease models.",,,,,,,,,,,,,
"2,3-Dihydroxybutanoic acid","2,3-Dihydroxybutanoic acid",Propanoic acid,"2-propenoic acid, known in industry and chemistry as acrylic acid, is an organic acid that is characterized by being colorless and having a strong, penetrating odor. This acid is the simplest of the unsaturated carboxylic acids, meaning that it contains a double bond in its molecular structure, which affects its properties and reactivity.

Acrylic acid is widely used in the manufacture of plastics, paints, adhesives and other polymer products through a polymerization process, where acid molecules join together forming long chains. This makes it an essential component in the production of acrylic resins and polyacrylates, which are materials valued for their water resistance and durability. In addition to its industrial use, acrylic acid is also explored in medical and healthcare applications, such as in the manufacture of absorbents in diapers and other hygiene products due to its ability to form liquid-retaining gels.",,,,,,,,,,,,,
Ethyl .alpha.-D-glucopyranoside,Ethyl .alpha.-D-glucopyranoside,"Pyrrolidine, 2-butyl-1-methyl-","1-Methyl-2-pyrrolidone plays a role as a polar aprotic solvent. 1-Methyl-2-pyrrolidone is an N-alkylpyrrolidine, a lactam, and a member of the pyrrolidin-2-ones.",,,,,,,,,,,,,
Butanoic acid,Butanoic acid,quinic acid(S),"It is a crystalline acid obtained mainly from cinchona bark, coffee beans, and other plant products and made synthetically by hydrolysis of chlorogenic acid. Quinic acid is also involved in the perceived acidity of coffee. It is a constituent of the tannins of Caesalpinia spinosa",,,,,,,,,,,,,
L-Aspartic acid,L-Aspartic acid,Serine,"L-serine is a non-essential amino acid with polar properties, which plays a crucial role in the metabolism of both plants and animals. In plants, it is mainly synthesized from glycine or through the conversion of glycerates, a byproduct of glucose metabolism. This amino acid is involved in numerous cellular functions, including protein synthesis and the functioning of various enzymes that are essential for growth and response to environmental stress.

In humans and other animals, L-serine is essential for the production of phospholipids necessary for the formation of cell membranes. Additionally, it contributes to the synthesis of neurotransmitters and plays a role in the immune system. Its ability to act as a precursor to other amino acids and bioactive compounds makes it essential in numerous biological processes, including the regulation of nerve and muscle function. For these reasons, L-serine is a valuable component in nutritional supplements and biomedical research.",,,,,,,,,,,,,
.beta.-Alanine,.beta.-Alanine,Stearic acid,"Stearic acid is a saturated fatty acid with 18 carbon atoms present in vegetable oils, animal and vegetable fats.",,,,,,,,,,,,,
Homoserine,Homoserine,Tyrosine,It is one of the twenty amino acids that make up proteins. It is classified as a non-essential amino acid in mammals since its synthesis occurs from the hydroxylation of another amino acid: phenylalanine. This is considered so as long as the mammal's diet contains an adequate supply of phenylalanine. Therefore the amino acid phenylalanine is essential.,,,,,,,,,,,,,
Trigonelline,Trigonelline,Hexanedioic acid,"Adipic acid, also known as hexanedioic acid. In industry, it is one of the most important dicarboxylic acids. About 2.5 billion kilograms of this white crystalline powder are produced each year. The main reason for its production is that it is used as a raw material to make nylon.",,,,,,,,,,,,,
Niacinamide,Niacinamide,Tetradecane,"Tetradecane is an alkane hydrocarbon with 14 carbon atoms, present in the resinous secretions of plants.",,,,,,,,,,,,,
Myristic acid,Myristic acid,Niacinamide,"Niacinamide is a form of vitamin B3 that plays an essential role in both human and plant metabolism. In plants, it contributes to processes such as DNA repair, hormone synthesis and defense against pathogens. In humans, niacinamide is recognized for its dermatological benefits; It helps improve the skin barrier, reduces inflammation, minimizes redness and hyperpigmentation, and prevents the appearance of spots related to aging or sun exposure. For these reasons, it is a popular ingredient in cosmetics and skin care products, including creams and serums intended to promote a more even, healthier appearance of the skin. In addition, it is used in treatments to improve the general health of the skin and maintain its hydration.",,,,,,,,,,,,,
D-(+)-melezitose,D-(+)-melezitose,"Oleic Acid, (Z)-","Oleic acid is a monounsaturated fatty acid belonging to the omega-9 series, known for its abundant presence in various vegetable oils, such as olive, hemp and avocado oil. This compound plays a crucial role in human nutrition and plant health, contributing to the integrity and function of cell membranes. In the diet, oleic acid is valued for its benefits for cardiovascular health, as it can help reduce bad cholesterol levels while increasing good cholesterol levels. Furthermore, due to its stability and resistance to oxidation, oleic acid is frequently used in the food and cosmetic industries, improving the texture and prolonging the shelf life of products.",,,,,,,,,,,,,
L-Glutamic acid,L-Glutamic acid,Pentanedioic acid,"Pentanedioic acid, also known as glutaric acid, is a dicarboxylic acid with a structure of five carbon atoms, present in many biological processes as an intermediate in the metabolism of amino acids such as lysine and tryptophan. This acid plays a crucial role in metabolic cycles, assisting in the breakdown and synthesis of important molecules within cells. In the broader context, glutaric acid is used in industry for the production of polymers, solvents and as a precursor in the manufacture of special chemicals. Its versatility and presence in multiple biochemical reactions make it a significant compound in both plant biology and industrial applications.",,,,,,,,,,,,,
4-Aminobutanoic acid,4-Aminobutanoic acid,Petroselinic acid,"It is a structural isomer of oleic acid, with a double bond in the z position at carbon 6, also called (6Z)-Octadec-6-enoic acid",,,,,,,,,,,,,
Phenethylamine,Phenethylamine,Phenethylamine,"Phenylethylamine is a natural organic compound classified as an alkaloid and a monoamide. It is found in small quantities in chocolate and is known for its ability to stimulate the central nervous system, generating effects that improve mood and alertness. Due to these properties, phenylethylamine is also used as a dietary supplement. In plant metabolism, it plays a role in the synthesis of other alkaloids and bioactive compounds, and in humans, it is involved in the release of neurotransmitters such as dopamine and serotonin, contributing to its popularity in products intended for improve emotional well-being.",,,,,,,,,,,,,
Glycerol monostearate,Glycerol monostearate,Phosphoric acid,Phosphoric acid (sometimes called orthophosphoric acid) is an oxoacid type acid with the formula H3PO4.,,,,,,,,,,,,,
Ecgonine methyl ester,Ecgonine methyl ester,Pipecolic acid,"Pipecolic acid is an amino acid with 6 carbon atoms, not proteinogenic, that is, it is not part of proteins. It is an intermediate substance in lysine catabolism",,,,,,,,,,,,,
Citramalic acid,Citramalic acid,"2,3-Dihydroxybutanoic acid","Also known as tartaric acid, it is an organic acid, present in grapes as potassium bitartrate, also known as cream of tartar. Luis Pasteur, in his first contribution to science in his 20s, demonstrated by carefully separating tartaric acid crystals that there were two types of tartaric acid, which responded by deflecting polarized light in opposite directions. This phenomenon was called optical isomerism. Tartaric acid has two acidic functional groups that make it an excellent acidifying agent in wines and beverages. It is widely used as a preservative in foods and cosmetic products, because it prevents the proliferation of bacteria and fungi.",,,,,,,,,,,,,
Pentanedioic acid,Pentanedioic acid,2-Aminobutanoic acid,"2-Aminobutanoic acid, commonly known as homoalanine, is a non-protein amino acid that plays a critical role in the synthesis of non-ribosomal proteins. This special process occurs outside of ribosomes, the cellular structures typically involved in making proteins. The proteins resulting from this process are crucial for specific biological functions such as antimicrobial defense and cell signaling.

Homoalanine is mainly produced in bacteria and fungi as a secondary metabolite. In plants, when this amino acid is produced by associated microorganisms, it is considered a xenobiotic compound, that is, a foreign substance not naturally produced by the plant. Additionally, 2-aminobutanoic acid is one of the three isomers of aminobutyric acid. The others are gamma-aminobutyric acid (GABA), an important neurotransmitter that regulates neuronal activity, and beta-aminobutyric acid, which helps plants manage stress and disease. Unlike these, homoalanine is not found naturally in plants, being introduced through interaction with microorganisms.",,,,,,,,,,,,,
Galactaric Acid,Galactaric Acid,2-Hydroxybutyric acid,"2-Hydroxybutyric acid is an organic acid notable for its structure of four carbon atoms, with a hydroxyl group attached to the second carbon. This configuration gives it unique properties that are critical both in human metabolism and in medical applications. There are two forms of this acid, known as enantiomers: (R)-2-hydroxybutyric acid and (S)-2-hydroxybutyric acid, each with different biological activities due to their mirror structure, similar to the difference between left and right hands. right.

An important function of 2-hydroxybutyric acid in medicine is its role as a biomarker for detecting insulin resistance, a condition that can lead to type 2 diabetes. Insulin resistance is a condition in which the body does not respond effectively insulin, a hormone essential for regulating blood sugar. Measuring levels of this acid can provide early indications of insulin resistance, allowing preventive interventions that improve the prognosis and management of potential diabetes
",,,,,,,,,,,,,
Xylonic acid,Xylonic acid,2-Keto-l-gluconic acid,"2-keto-L-gluconic acid is an organic compound derived from the oxidation of glucose, playing a crucial role as an intermediate in the transformation of glucose into vitamin C in both plants and some microorganisms. This acid is characterized by the presence of a ketone group on the second carbon of its molecular structure, the result of the oxidation of a hydroxyl group, which modifies its chemical properties and makes it soluble in water.

In industry, 2-keto-L-gluconic acid is valued for its chelating properties, capable of forming complexes with metals, thus facilitating its treatment in solutions. Additionally, it is commonly used in foods and beverages to stabilize colors and flavors, maintaining the desired quality of these products. From a biotechnological and pharmaceutical approach, this acid is investigated for its potential to improve the production of vitamin C in genetically modified organisms, which is essential for nutrition and the creation of dietary supplements.",,,,,,,,,,,,,
Ecgonine ethyl ester,Ecgonine ethyl ester,4-Aminobutanoic acid,"4-Aminobutanoic acid, commonly known as GABA, plays a crucial role as an inhibitory neurotransmitter in the mammalian nervous system. This essential compound helps moderate neuronal activity in the brain, acting as a natural brake that prevents neuronal overexcitation, which is essential for maintaining mental balance and preventing anxiety. This inhibitory function contributes to brain relaxation and is vital for processes such as sleep and calm.

Beyond its role in the brain, GABA is found in various organisms, including bacteria, where it promotes resistance to acidic environments, an adaptation essential for survival in challenging conditions. In humans, due to its potential to improve relaxation and sleep, GABA is being explored as a dietary supplement. Although its use as a supplement to improve mood and sleep is promising, details about its effectiveness and exact mechanisms in these applications continue to be the subject of research. Its presence in both neuronal and bacterial processes underlines its broad biological and therapeutic relevance.",,,,,,,,,,,,,
Asparagine,Asparagine,4-Aminobutyric acid,"4-Aminobutanoic acid, commonly known as GABA, plays a crucial role as an inhibitory neurotransmitter in the mammalian nervous system. This essential compound helps moderate neuronal activity in the brain, acting as a natural brake that prevents neuronal overexcitation, which is essential for maintaining mental balance and preventing anxiety. This inhibitory function contributes to brain relaxation and is vital for processes such as sleep and calm.

Beyond its role in the brain, GABA is found in various organisms, including bacteria, where it promotes resistance to acidic environments, an adaptation essential for survival in challenging conditions. In humans, due to its potential to improve relaxation and sleep, GABA is being explored as a dietary supplement. Although its use as a supplement to improve mood and sleep is promising, details about its effectiveness and exact mechanisms in these applications continue to be the subject of research. Its presence in both neuronal and bacterial processes underlines its broad biological and therapeutic relevance.",,,,,,,,,,,,,
Hexanedioic acid,Hexanedioic acid,Citramalic acid,"El ácido citramálico, un ácido orgánico naturalmente presente en muchos alimentos vegetales y en el vino, pertenece a la familia de los ácidos dicarboxílicos. Con dos grupos carboxilo en su estructura, este ácido juega un papel crucial en la regulación de la acidez en soluciones, influyendo significativamente en la complejidad del sabor y el equilibrio del vino. Su contribución al perfil gustativo del vino es esencial para definir las características distintivas de cada variedad.

Más allá de la vinificación, el ácido citramálico se utiliza ampliamente como aditivo alimentario para ajustar la acidez de los alimentos procesados, mejorando así su sabor y estabilidad. Esta regulación de la acidez es crucial no solo para el paladar sino también para la conservación de los alimentos, ya que un pH adecuadamente ajustado puede inhibir el crecimiento de microorganismos potencialmente perjudiciales. Su uso es común en la fabricación de bebidas no alcohólicas, conservas y productos lácteos, donde su eficacia en la modificación del pH asegura la calidad y seguridad del producto final.",,,,,,,,,,,,,
Xylitol,Xylitol,Myristic acid,"Myristic acid is a saturated fatty acid composed of 14 carbon atoms, commonly obtained from plant sources such as coconut oil and nutmeg. In plants, this fatty acid is important for its role in the structure and functionality of cell membranes, contributing to their rigidity and stability. In the industry, myristic acid is especially valued for its ability to give consistency and emolence to cosmetic products, such as creams and lotions, improving their texture and facilitating their application. In addition, it is used in the production of soaps due to its foaming properties and its effectiveness in cleaning.",,,,,,,,,,,,,
Putrescine,Putrescine,Pyruvic Acid,"Pyruvic acid is an alpha-keto acid that plays an important role in biochemical processes. The carboxylate anion of pyruvic acid is known as pyruvate. Colorless acid, with an aroma similar to acetic acid, it is miscible in water and soluble in ethanol and diethyl ether.",,,,,,,,,,,,,
DL-Ornithine,DL-Ornithine,DocosanoicAcid,"Docosanoic acid, also known as behenic acid, is a saturated fatty acid found primarily in the oil from the seeds of the moringa plant and other plant and animal oils. This compound has a chain of 22 carbon atoms and ends in a carboxylic group, which is typical of fatty acids.

Thanks to its physical properties, behenic acid is valued in various industrial applications. It is used as a thickening and emollient agent in the production of creams and lotions in the cosmetic industry, improving the texture and stability of these products. Additionally, in the chemical industry, it is used as an evaporation retarding agent in solvents, helping to maintain the consistency and effectiveness of paints and coatings during their application and drying. Its ability to modify the evaporation rate of solvents makes it crucial in processes where precise control over drying conditions is required.",,,,,,,,,,,,,
Shikimic acid,Shikimic acid,HeptadecanoicAcid,"Heptadecanoic acid, also called margaric acid, is a saturated fatty acid composed of a linear chain of 17 carbon atoms. This fatty acid is characterized by being insoluble in water and having a melting point of 61°C, which indicates that it solidifies at relatively low temperatures. Although it is not one of the most common fatty acids, it plays a role in various biological functions.

In plants, heptadecanoic acid may be involved in the formation of complex lipids that are part of cell membranes, contributing to cellular integrity and functionality. In practical applications, this fatty acid has limited uses, but can be used in the chemical industry for the synthesis of specialized products such as surfactants and lubricants. Its behavior as a long-chain fatty acid gives it useful properties for these applications.",,,,,,,,,,,,,
Citric acid,Citric acid,"2-Butenedioic acid, (E)-","2-Butenedioic acid, better known as fumaric acid, is a type of organic acid that has two acid (dicarboxylic) groups in its structure. This acid is key in the energy generation process in plants and also in the human body, helping to convert food into energy used by cells, a process that occurs in a series of steps known as the Krebs cycle.

In addition to its biological function, fumaric acid is widely used in the food industry. Thanks to its ability to combat microorganisms, it is used as an effective preservative, helping to prolong the useful life of food. It is also used to adjust the acidity of food products, ensuring they have the proper flavor and stability. Its safety and effectiveness make it an essential component in many processed food formulas.",,,,,,,,,,,,,
Adenine,Adenine,gluconic acid lactonel,"Also known as gluconolactone, it is a colorless solid, it is an oxidized derivative of glucose. It is normally produced by aerobic oxidation of glucose in the presence of the enzyme glucose oxidase.",,,,,,,,,,,,,
Tyrosine,Tyrosine,L-Aspartic acid,"Aspartic acid is an amino acid that participates in the formation of proteins in both plants and animals. In mammals, it is considered a non-essential amino acid because the body can synthesize it internally, without needing to obtain it directly from the diet. In plants, aspartic acid has a crucial role beyond protein synthesis; It acts as a precursor in several vital metabolic pathways, especially under environmental stress conditions.

This amino acid is directly involved in the synthesis of asparagine, another important amino acid that assists in the transport and storage of nitrogen within the plant, a process essential for the adaptation and survival of plants in various environments. The ability of aspartic acid to intervene in these critical functions underlines its importance in plant biochemistry and its impact on the efficiency and response of plants to adverse conditions.",,,,,,,,,,,,,
Gulonic acid,Gulonic acid,Asparagine,"Asparagine is an essential amino acid in the development and maintenance of tissues in the human body, originally discovered in asparagus, from which it derives its name. This amino acid is not only a vital component of protein, but it also plays a crucial role in cellular metabolism, helping to transform food into usable energy and facilitating numerous essential cellular functions.

Additionally, asparagine is important for the nervous system, where it acts as a neurotransmitter, facilitating communication between nerve cells. This is essential for processes such as learning and memory. It also helps regulate the balance and well-being of the nervous system, influencing mood and stress response. Due to its central role in so many critical functions, maintaining adequate asparagine intake is essential for overall health. This amino acid is found in abundance in protein-rich foods such as meats, eggs, dairy products, fish, legumes and asparagus, making it easy to incorporate through a balanced diet.",,,,,,,,,,,,,
Phytosphingosine1,Phytosphingosine1,.beta.-Alanine,"Beta-alanine is a non-essential amino acid that, although not involved in building proteins, plays a vital role in muscle health and sports performance. This amino acid is converted into the peptides carnosine and anserine within the muscles, where they act as buffers neutralizing acids that build up during intense exercise, such as lactic acid. This action helps prevent muscle fatigue and allows physical activity to be prolonged.

Additionally, beta-alanine is a precursor to pantothenic acid, also known as vitamin B5. This vitamin is essential for converting food into energy and for the metabolism of fats and proteins. Thanks to its effects on muscular endurance and energy efficiency, beta-alanine is widely used in sports supplements to improve endurance and performance in training and competitions, making this compound a favorite among athletes and exercise enthusiasts.",,,,,,,,,,,,,
d-Glucose,d-Glucose,Iminodiacetic Acid,"Iminodiacetic acid is a chemical compound widely used as an intermediate in the production of chelating agents, essential in many industrial and agricultural processes. Chelating agents are substances that can form stable complexes with metal ions, such as calcium and magnesium, allowing them to be more easily manipulated or eliminated from different systems. In the field of agriculture, iminodiacetic acid is crucial in the synthesis of herbicides such as glyphosate, one of the most widely used herbicides globally to control weeds.

Additionally, this acid has applications in the detergent industry, where it is used to produce surfactants that improve the quality and effectiveness of detergents by immobilizing ions that could interfere with their cleaning action. Its ability to ""sequester"" metal ions makes it valuable in water treatments and industrial processes where it is required to control the hardness of the water and prevent the formation of lime deposits. For these reasons, iminodiacetic acid is more than just a chemical compound; It is a fundamental tool in environmental and manufacturing technologies.",,,,,,,,,,,,,
L-Lysine,L-Lysine,"Silanol, trimethyl-, phosphate (3:1)",An organosilicon compound that is phosphoric acid in which the three hydroxy groups are replaced by (trimethylsilyl)oxy groups.,,,,,,,,,,,,,
D-(+)-Glucosamine,D-(+)-Glucosamine,"2,3,4-Trihydroxybutyric acid","Threonic acid, also known as 2,3,4-trihydroxybutyric acid, is an organic compound that is formed through the oxidation of threose, a simple monosaccharide, and vitamin C. This acid is notable for its applications in biomedicine. , especially for its potential benefits in the treatment of specific health conditions.

One of the most researched applications of threonic acid is its potential to treat androgenic alopecia, a common form of hair loss that affects men and women, where it has been suggested that it could help control or reverse this type of baldness. Additionally, magnesium threonate, which is a compound derived from threonic acid, is under study for its positive effects on cognitive function and as a possible treatment for Alzheimer's disease. This form of the acid improves neuronal health and could offer benefits in the management of this degenerative disease.

Naturally produced in the body during the metabolism of vitamin C, threonic acid is crucial in numerous biological processes at the cellular level.",,,,,,,,,,,,,
4-hydroxybenzaldehyde,4-hydroxybenzaldehyde,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-","Cocaine, also known scientifically as benzoylmethylecgonine, is a tropane-type alkaloid that is known for being a powerful stimulant of the central nervous system. This compound is found naturally in plants of the Erythroxylum genus, especially in the cultivated species Erythroxylum coca and Erythroxylum novogranatense, and plays a defensive role in plants by acting as a natural insecticide with neurotoxic effects on certain insects.

In addition to its biological function in plants, cocaine is widely known for its medical applications and psychoactive effects in humans. Medically, it is used as a local anesthetic, especially useful in laryngeal surgeries due to its vasoconstrictor and analgesic effects. On a pharmacological level, cocaine is unique among local anesthetics in its ability to block the reuptake of key neurotransmitters such as norepinephrine, dopamine, and serotonin, producing stimulant effects and euphoria.

However, recreational use of cocaine carries significant risks. Its ability to increase the release and block the reuptake of dopamine in the brain can lead to increased neuronal activity resulting in severe side effects, such as tachycardia, hypertension, and in extreme cases, cardiac arrhythmias and nervous breakdowns. Additionally, combining cocaine with alcohol produces cocaethylene, a compound with increased toxic potential and cardiotoxicity.

Cocaine also has two ester groups that are hydrolyzed both in vitro and in vivo to benzoylecgonine and methyl ecgonine ester, contributing to its metabolism and elimination from the body. Its mechanism of action, similar to that of other anesthetics by blocking sodium channels and thus the transmission of nerve impulses, together with its unique effects on neurotransmitters, make it a drug of high medical and pharmacological interest.",,,,,,,,,,,,,
Gallic acid,Gallic acid,Phytol2,"Phytol is an organic compound known as a diterpenoid, a type of fatty alcohol that forms an essential part of chlorophyll, the pigment that gives plants their green color and plays a crucial role in photosynthesis, the process by which plants They convert sunlight into chemical energy. When released from chlorophyll during its degradation, phytol displays a series of beneficial biological properties.

This secondary metabolite has been studied for its multiple biological effects, which include anxiolytic actions, helping to reduce anxiety; antioxidants, protecting cells from oxidative damage; cytotoxic, with the potential to kill cancer cells; and anti-inflammatory, reducing inflammation in the body. These properties make phytol of interest in various areas of research and development, from pharmacology to nutrition and cosmetics, where its use could be key to developing innovative treatments and dietary supplements.
",,,,,,,,,,,,,
Ferulic acid,Ferulic acid,Saturated,Saturated compounds- These compounds are organic compounds that have only one carbon to carbon single bond.,,,,,,,,,,,,,
Heptadecanoic acid,Heptadecanoic acid,Insaturated,"An unsaturated compound is a chemical compound that contains carbon-carbon double bonds or triple bonds, such as those found in alkenes or alkynes, respectively.",,,,,,,,,,,,,
Caffeic acid,Caffeic acid,Acids,"In general an acid is a chemical substance that, when dissolved in water, releases hydrogen ions (H⁺). Acids can be found in many everyday products, such as lemon juice and vinegar, which contain citric and acetic acid, respectively.",,,,,,,,,,,,,
Phytol,Phytol,Bases,"Base, in chemistry any substance that in water solution is slippery to the touch, tastes bitter, changes the colour of indicators (e.g., turns red litmus paper blue), reacts with acids to form salts, and promotes certain chemical reactions (base catalysis).",,,,,,,,,,,,,
Lactose,Lactose,Alcohols,Alcohols are molecules containing the hydroxy functional group (-OH) that is bonded to the carbon atom of an alkyl or substituted alkyl,,,,,,,,,,,,,
"13-Octadecenoic acid, (E)-","13-Octadecenoic acid, (E)-",Aminoderivatives,"Amino acid derivatives are compounds that have been derived from an amino acid by either replacing or removing the amino group, carboxyl group, side group, or any group which is attached to the central atom. Examples of amino acid derivatives are hormones like Thyroid-stimulating hormones, proteins, enzymes, etc.",,,,,,,,,,,,,
